127.0.0.1 - - [05/Jun/2023:09:27:52 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:28:20 +0900] "GET /controller/ HTTP/1.1" 200 19587
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:28:20 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:28:20 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:28:20 +0900] "GET /controller/resources/lib/easing/easing.min.js HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:28:20 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 9928
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:28:20 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:28:20 +0900] "GET /controller/resources/lib/wow/wow.min.js HTTP/1.1" 200 8159
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:28:20 +0900] "GET /controller/resources/img/ma.png HTTP/1.1" 200 356321
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:28:20 +0900] "GET /controller/resources/img/i.png HTTP/1.1" 200 264777
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:28:20 +0900] "GET /controller/resources/images/logo_1.png HTTP/1.1" 200 447555
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:28:20 +0900] "GET /controller/resources/img/person.png HTTP/1.1" 200 7786
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:28:20 +0900] "GET /controller/resources/img/tree.png HTTP/1.1" 200 8170
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:28:20 +0900] "GET /controller/resources/img/home.png HTTP/1.1" 200 8251
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:28:20 +0900] "GET /controller/resources/js/main.js HTTP/1.1" 200 1890
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:28:20 +0900] "GET /controller/resources/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9034
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:28:20 +0900] "GET /controller/resources/img/Inquire.jpg HTTP/1.1" 200 35756
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:28:20 +0900] "GET /controller/resources/img/classes-1.jpg HTTP/1.1" 200 27376
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:28:20 +0900] "GET /controller/resources/img/classes-2.jpg HTTP/1.1" 200 16162
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:28:20 +0900] "GET /controller/resources/img/call-to-action.jpg HTTP/1.1" 200 39111
0:0:0:0:0:0:0:1 - - [05/Jun/2023:09:28:20 +0900] "GET /controller/resources/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42772
